,0,1,feature_importance
0,battle,16,0.0018195018497713133
1,emperor,11,0.0011998409553783196
2,empire,9,0.0014464136770057476
3,gain,12,0.0013360587982253589
4,overcome,7,0.0010424959718011947
5,seek_land,8,0.0013781865313698641
6,bear,19,0.0017772202627814179
7,child,14,0.0016958152422322991
8,come,165,0.0062796699222785425
9,east,15,0.0010907848911434926
10,reign,34,0.003949616647421444
11,reign_winter,23,0.003593040809396242
12,second,15,0.0015287263511281617
13,slay,132,0.007075773180918099
14,worship,6,0.0008665636557502566
15,bring,46,0.002354727213890373
16,die,222,0.00939879768652821
17,hand,46,0.0023774633828273248
18,son_succeed,20,0.0026012822311260904
19,winter,72,0.00492742773489465
20,son,140,0.0064499373849597795
21,divide,11,0.0014981368968648829
22,kingdom,50,0.003932920331922804
23,succeed_empire,5,7.662993334166242e-05
24,begin_reign,5,0.000561494292261683
25,apostle,11,0.001321872275950446
26,baptize,11,0.0015331682380812428
27,convert,5,0.0010889378839141874
28,stone,6,0.0010712591508875069
29,bless,11,0.0016190186175296046
30,city,25,0.002593028062748073
31,episcopal,7,0.0008667882942989906
32,see,62,0.004110048254298164
33,settle,18,0.002108359008568031
34,undertake,5,0.0006649477234000913
35,brother,80,0.0041819959563097996
36,death,21,0.0018461338713610435
37,ere,10,0.000592550779395546
38,book,11,0.0008069490747399527
39,call,50,0.0033152369382515815
40,dominion,12,0.002170895039868729
41,fourth,7,0.0010797973321009671
42,great_famine,9,0.0009272912449211511
43,great_part,10,0.001315056499068231
44,happen,19,0.0012141146513152694
45,island,21,0.0024244627074800993
46,lose,18,0.0011116232779654937
47,power,14,0.001114353888989595
48,take,111,0.004548519619967663
49,large,24,0.0016121576950809216
50,part,22,0.001697285769319059
51,subdue,11,0.0022166114102936288
52,write,9,0.0011894687228386255
53,speak,20,0.0012916338522967273
54,army,111,0.004353402864553393
55,go,162,0.0058024778497084385
56,king,239,0.00802162715362872
57,rule,10,0.0010292739600535174
58,subject,16,0.0017736155677261379
59,bind,10,0.0010029867708437118
60,send,91,0.00397850707018156
61,suffer,20,0.0009799903869046724
62,depart_life,19,0.0021709410687532618
63,consider,6,0.0009199153702473055
64,day,105,0.004354753938785396
65,do,100,0.0032095551280433405
66,good,46,0.0023035237759702833
67,say,57,0.0021198536056372445
68,assume_government,6,0.0010693729466850412
69,relation,9,0.0014254482071411792
70,rest,13,0.0012963675285620963
71,brother_succeed,10,0.0019191599680572534
72,baptism,12,0.002088788287562202
73,beg,8,0.001140950551144592
74,continue,26,0.0019258024929069654
75,faith,6,0.0008453906399937005
76,hold,81,0.003787600748621272
77,succeed,46,0.004385101553479747
78,time,77,0.0035737444955520874
79,true,7,0.0007654928491607273
80,bishopric,37,0.0027405306769780068
81,broad,6,0.0004843327723317884
82,end,18,0.0014569916711451043
83,hold_winter,8,0.001267633190463949
84,letter,5,0.0005185368158561718
85,make,48,0.0022791989042308704
86,obtain,20,0.0014872443796635658
87,perish,16,0.0015131035846956218
88,pray,7,0.001156862417474065
89,request,14,0.0010323071298840713
90,sea,63,0.002913279597550218
91,wall,6,0.000667431020559004
92,work,22,0.0012904165353884685
93,find,29,0.0015713923797560357
94,holy,33,0.001784909489491463
95,rood,8,0.0009051799027121294
96,arise,10,0.0011783138464659304
97,collect,24,0.0009563682800305336
98,country,24,0.0020122070140143502
99,drive,52,0.00395656943044652
100,land,148,0.0054464914746328
101,name,55,0.0039885502842634405
102,pass,8,0.0010969695299361882
103,world,14,0.002045840109833787
104,carry,16,0.0015656062130880496
105,earth,16,0.0009781410700550142
106,hide,9,0.0012100018116043667
107,man,162,0.005864835200619017
108,young,11,0.0010903928312484773
109,establish,6,0.0009868678119506864
110,scot,7,0.0007129761605578072
111,send_preach,5,0.0009092910997442353
112,build,28,0.002748985562131591
113,have,170,0.005791697684122742
114,assistance,18,0.0011980173005551873
115,nation,25,0.0017705849404705384
116,noble,11,0.0014509132523647633
117,war,13,0.0017563794613995084
118,eastern,6,0.0010609608422820745
119,head,23,0.0014314561101908473
120,monk,40,0.0027849585228179384
121,place,28,0.0015252108576279313
122,show,6,0.0006510473336417574
123,desire,13,0.0009073766727090094
124,direct,9,0.0006379107480527208
125,fight,96,0.00560490566465081
126,first,21,0.002421847537144444
127,great,83,0.003989719462056913
128,leader,8,0.0014370758676841297
129,north,24,0.0010926304634164183
130,obtain_victory,9,0.0018818109568613079
131,people,78,0.003448723952124119
132,place_call,12,0.002640495689530225
133,remain,39,0.0019945353485130816
134,royal,14,0.0015078331737075617
135,support,5,0.0004081343881368901
136,waste,5,0.0005097615279820054
137,spot_call,5,0.0022730603220311742
138,flee,15,0.0016436957997677962
139,nigh,21,0.0015481924103272226
140,side,40,0.0016061560502579806
141,thane,30,0.001440012385482137
142,fire,15,0.0020326102758427473
143,immense,12,0.0019713198222512133
144,flight,16,0.0018551619135458097
145,ship,88,0.0036681035983355047
146,slew,30,0.0022257428035081586
147,wood,12,0.0013320777181814113
148,succeed_kingdom,25,0.002809838069640949
149,besiege,5,0.0004487760688070724
150,leave,30,0.0016305895210988908
151,government,15,0.0022447405906393285
152,half,9,0.0014154684739597597
153,kingdom_hold,7,0.0015556737807939968
154,month,21,0.0028254126341930945
155,night,62,0.0036331972284393064
156,queen,16,0.0008789771840015715
157,receive_baptism,7,0.0012424660257865146
158,reign_half,5,0.001184041892489967
159,succeed_government,7,0.0015701408917648395
160,want,7,0.0006120333972503472
161,high,13,0.001441170568158475
162,rank,7,0.0006202720408353036
163,spot,11,0.0015539189942392678
164,abbot,38,0.0033081116061658734
165,father,35,0.002376735393259901
166,fight_put,9,0.0009766020875282676
167,give,99,0.004411701623811799
168,nephew,14,0.0018212488066698363
169,whole,16,0.0015381502880919798
170,day_calend,13,0.0025828244096019106
171,morning,16,0.0018458799089122217
172,sun_eclipse,7,0.0016184097359320242
173,calend,70,0.005353134538193951
174,full,36,0.00217945533803075
175,star,15,0.0014083037324131864
176,twelfth_day,5,0.0007874328953460672
177,bury,28,0.0020733531735317337
178,surround,6,0.0004083781893009671
179,put_flight,25,0.002041099147095736
180,receive,50,0.002338334462660422
181,thirtieth,5,0.001623546519534287
182,bishop,62,0.0037206132309860656
183,bishop_abbot,12,0.0011038614136033905
184,church,33,0.0021419538121259327
185,hallowed,5,0.00044383500186139576
186,mass_priest,6,0.0011216593436166082
187,monastery,25,0.0019724095388427027
188,northern,10,0.0013922467527064256
189,old,15,0.001457249561784363
190,teach,5,0.000837259752636927
191,alderman,26,0.002315988197565741
192,pursue,7,0.0017552523978027407
193,town,47,0.0026940851237646324
194,booty,10,0.0012634044006459221
195,great_slaughter,15,0.0012446309772530645
196,english_people,6,0.0006121305998145802
197,word,12,0.0008054013248240424
198,companion,13,0.0011092885519556517
199,conquer,5,0.0013474516465752406
200,either,20,0.0013673718424019393
201,assist,9,0.0019127064541711925
202,learn,10,0.0008500364055737624
203,pall,23,0.0018267657950509768
204,lead_army,9,0.0012341209906837236
205,thither,5,0.0014900372382857753
206,band,5,0.0008478761643774352
207,enemy,30,0.0014678088758484044
208,lead,36,0.0024342194970594804
209,consecrate_bishop,14,0.001989173523763009
210,give_bishopric,10,0.001130601801198962
211,mile,9,0.0011723360875087162
212,sister,22,0.0018908949953257883
213,appoint,29,0.0031647908644754693
214,mother,19,0.002434887001641582
215,escape,19,0.0009019403467169119
216,innumerable,5,0.001173010630395076
217,peace,31,0.001510570630487106
218,priest,24,0.0029201134730332105
219,thence,21,0.0017270112827087996
220,abandon,9,0.000997924576080432
221,archbishop,34,0.0032350475550349898
222,decease,7,0.0009818646497275294
223,depart,31,0.001451956199248816
224,desert,5,0.0009578645686112757
225,english,7,0.0014274448662582625
226,everything,6,0.0010926475996912333
227,heathen,9,0.0013742753495779975
228,invest,10,0.001722985431806777
229,live,25,0.0022898242831350902
230,manner,7,0.0006214218514538348
231,new,7,0.001064343769052568
232,relict,7,0.0011247046030433425
233,renounce,5,0.0007644931881058181
234,return,58,0.00299584734071475
235,succeed_archbishopric,6,0.0008565770262948143
236,take_wife,7,0.0009495624090578557
237,account,20,0.0015404812340629648
238,command,19,0.002113779223045514
239,go_sea,36,0.0025171929184707774
240,ordain,9,0.0008922197191159922
241,order,55,0.0026929388128505757
242,right,22,0.0014969566645937152
243,turn,16,0.001216320799927669
244,wish,15,0.0009625684865026233
245,advance,15,0.0006696325045480431
246,daughter,31,0.003759311255058863
247,design,8,0.0008038001662192179
248,destroy,23,0.0016890098676713295
249,eve,18,0.0007867850163941364
250,kill,8,0.0014462102294351873
251,procure,8,0.0009682680569520821
252,promise,19,0.000829286567285756
253,twelfth,6,0.0017825781181132138
254,wound,15,0.001283251104062946
255,consecrate,53,0.004510394184958843
256,person,9,0.0007598518875625189
257,rich_man,10,0.0011174547684450458
258,send_hither,9,0.0011026910992722918
259,tenth,5,0.0008533734298283614
260,enter,8,0.000973961693014263
261,treaty,7,0.0009009605882260498
262,fourteenth,5,0.0012307373238820772
263,ravage,11,0.0015510441004995355
264,betwixt,13,0.0016818212534648021
265,end_life,5,0.0010834229939771492
266,uncle,17,0.002014727614344296
267,martyr,8,0.0010682712959950754
268,fifth,9,0.0020649384680830876
269,manifold,13,0.0009703777169566563
270,occasion,5,0.0005611351720569182
271,begin,26,0.0017624494850983163
272,minster,63,0.003020839273807868
273,become,27,0.0014015586895258377
274,betray,20,0.0013773952185901046
275,commit,17,0.0012735753092749903
276,friend,12,0.0006213528389978656
277,glory,8,0.00033859098889710336
278,honour,20,0.0013992677332181386
279,love,12,0.0006533123758446134
280,rear,7,0.0008666759588415962
281,rich,8,0.0009613262459220828
282,sixth_day,11,0.001114208773731351
283,tide,14,0.001005995358108903
284,abbey,6,0.00017859307396447536
285,abbot_monk,5,0.0005302827935211755
286,aforesaid,7,0.0007513670345798511
287,answer,5,0.00016829798559599705
288,anything,10,0.0009382052550810084
289,bade,9,0.0005355460012635676
290,bid,6,0.0007109962218984498
291,blessing,7,0.0010972307953063245
292,borough,10,0.0007376574782077305
293,choose,48,0.0022721848042584173
294,clear,6,0.0005698119852020595
295,clerk,9,0.0004100127282631866
296,confirm,11,0.0004465120228843559
297,counsel,18,0.0008854226502310078
298,cross,5,0.0012831901132401452
299,curse,5,0.00040793044288156945
300,deprive,22,0.0014999107261925379
301,dwell,9,0.0009991711061723566
302,earl,60,0.002201637339116344
303,ethelr,5,0.0009284417447259683
304,fen,8,0.0009593909939047247
305,few,16,0.0010962408081666517
306,forbid,9,0.0004963634687385232
307,free,10,0.0010453887953226972
308,gift,7,0.0006988246828244608
309,gold_silver,20,0.0007587804703947578
310,good_man,26,0.001130663779414503
311,grant,18,0.0010066688015398263
312,hallow,6,0.0008217656152910867
313,hear_say,6,0.00013762063510042679
314,heavenly,8,0.0011721835396529218
315,hither,8,0.0006078367942611862
316,home,7,0.00048417523641286605
317,house,15,0.0012035426652417362
318,know,22,0.000766213275532075
319,lay,10,0.0005986868178930598
320,life,20,0.0016249310083117684
321,long,13,0.0016194212475223845
322,main,6,0.000673809995821429
323,permit,5,0.0003824379572180612
324,pope,28,0.0019984683864906856
325,possession,9,0.0014107413776558767
326,proceed,27,0.0013738916252142683
327,ready,12,0.0008670532862559212
328,river,12,0.0018905739026278481
329,saint,10,0.0007822827615311524
330,seek,19,0.0012944831841033811
331,seventh,5,0.0011283761761979618
332,soul,15,0.0011939717126455154
333,speed,6,0.00028094554936827597
334,stand,20,0.0008076817185490543
335,synod,15,0.0014840888639176871
336,tell,23,0.00090826670420249
337,thereabout,10,0.0010523227010943632
338,thereto,25,0.0021929521556740893
339,thing,32,0.0010373462858163484
340,undo,7,0.0007139802557578673
341,water,13,0.0008357732152173683
342,wax,5,0.00035698237370011555
343,will,17,0.00058831636944167
344,wise,11,0.0015047885789013858
345,wist,5,0.00046704722690750543
346,writ,9,0.0008104577424054852
347,battle_fight,7,0.0009401352658627359
348,exile,8,0.0021588906399657433
349,accept,8,0.0006272297671392426
350,inhabitant,6,0.001398322189203443
351,die_bury,12,0.0016401140316713095
352,consecrate_archbishop,8,0.0012529683744860077
353,destruction,5,0.00035688713606124356
354,abbacy,16,0.0014553224079833366
355,allow,7,0.0005863426316698239
356,beseech,6,0.0005356560133974944
357,break,22,0.0006932959972667758
358,choose_monk,6,0.0008385146739157128
359,claim,5,0.0010194857245526287
360,consecration,6,0.0007116647371279637
361,decree,9,0.0010448241313682802
362,demand,7,0.0007757788464555841
363,gather,26,0.0011793043251170276
364,general,9,0.0008291538544544707
365,hear,18,0.0013571045455693348
366,increase,7,0.00048485926918096395
367,kind,11,0.0007657240232428808
368,let,28,0.0012439123447715746
369,lord,30,0.0015963188942211789
370,need,10,0.0008417482424507828
371,perform,8,0.0008969579927116575
372,possess,12,0.0012098462247346184
373,proclaim,5,0.00035694743823209155
374,service,9,0.0008342564730529856
375,shire,14,0.00045944030337463583
376,sixth,6,0.0007859511210973003
377,token,7,0.0006126923167533947
378,worthy,15,0.0011309858786187213
379,division,5,0.0009572159292449811
380,drive_bishopric,5,0.0003059575067031985
381,desirous,5,0.0004591472887648774
382,plunder_burn,10,0.0011054483300046813
383,blood,8,0.0012074189981978057
384,first_day,7,0.0010411915956699649
385,large_army,11,0.0011453798763746755
386,restore,5,0.0007863212930390649
387,retire,10,0.0009542965005694571
388,thirteenth_day,9,0.001496282422172196
389,devastation,5,0.0013453905312136973
390,spread,8,0.0012596051146409313
391,third,9,0.0020397107607728897
392,overrun,11,0.001322624148702929
393,course,9,0.0010471332598007584
394,kalend,15,0.002725033483456297
395,fill,5,0.001140944405437515
396,belong,12,0.001023522227913738
397,burn,35,0.001329392041385966
398,elder,9,0.0008158239352564476
399,follow,12,0.0010042219082592072
400,friendship,8,0.000652688208950643
401,great_council,8,0.0007595923577748534
402,look,6,0.0005484831439204395
403,meet,30,0.0014335624581495877
404,one,10,0.0008080912637962526
405,pound,18,0.0018699324615814284
406,provide,11,0.0008784385618010547
407,set,19,0.001020731301984733
408,sheriff,6,0.0007502224457533599
409,wise_man,8,0.001147607878893214
410,die_body,9,0.0016945121247941971
411,priest_succeed,7,0.0017439839160120457
412,relative,15,0.0022346623552845957
413,body_lie,15,0.0017248279508558257
414,etheling,14,0.002126076067352846
415,wretched,9,0.0007932158038616923
416,stead,6,0.0016744439700010303
417,archbishopric,12,0.0013394574361220409
418,enjoy,7,0.0009174421811972235
419,ide,32,0.0026090901128945905
420,tenth_day,5,0.0008034463230317684
421,consecrated,11,0.0025628573087048334
422,moon,8,0.0014351724604930794
423,receive_pall,7,0.00012753095691120668
424,porch,5,0.0020356060901174124
425,hard,7,0.0010585352362921547
426,assemble,10,0.001293313343570935
427,resign,12,0.0014673383033999494
428,third_day,11,0.0018810769029879793
429,ethel,8,0.0017489992500470048
430,beset,14,0.0011603240988698768
431,consent,6,0.0008032650496648621
432,council,35,0.0020542549145520445
433,dead,17,0.0009613189259801446
434,deed,16,0.0012809525323506466
435,defend,12,0.000805734906692541
436,expel,7,0.0014518091933344017
437,force,38,0.00192131897525419
438,gate,6,0.0010502562851066196
439,hostage,20,0.0009354987079937331
440,lady,14,0.001325590227352221
441,lie,41,0.0022517529999885066
442,money,16,0.0008630008455520516
443,offer,8,0.0006887408196677719
444,ride,24,0.001974676429932196
445,run,6,0.0005869626830514019
446,spar,6,0.00040891500730220516
447,understand,22,0.0010337568133835585
448,eighth_day,9,0.002017419786356384
449,severe,12,0.0018182776732870302
450,mid_winter,7,0.0011913400648995527
451,fourteenth_day,5,0.000499664548884837
452,appear,12,0.0015582088666252839
453,banish,8,0.0017788480726919297
454,heaven,5,0.0007398326659068298
455,town_call,6,0.000706253384709247
456,seventeenth_day,6,0.0016689561364265709
457,eleventh_day,5,0.0009750997028061032
458,seize,20,0.0008417959332000939
459,territory,11,0.0015595318706157855
460,seventh_day,5,0.0009983955658575572
461,body,16,0.0018333021385061362
462,deposit,5,0.0012872202183706498
463,mark,5,0.0008794818988560407
464,respect,9,0.0006383824951719649
465,danish,11,0.0011562313023221298
466,fourth_day,11,0.002326337999044817
467,light,15,0.0012590100639065086
468,wife,27,0.001374768188775838
469,fore,5,0.000775007914341626
470,heathen_man,7,0.000937984139811398
471,slaughter,7,0.0008259719720534877
472,crew,10,0.0008802057614036022
473,die_fourth,8,0.0012632370604532739
474,drown,6,0.0008930088656301625
475,heathen_army,5,0.0009605368513086308
476,mouth,19,0.0011997412765765935
477,plunder,41,0.0019086196779606029
478,weather,16,0.000950924940980467
479,dawn,5,0.0015052347826369247
480,moon_eclipse,8,0.0018302214771159359
481,raise,6,0.0006049805026001979
482,concern,8,0.0007136682131869547
483,eye,8,0.0005665065977134811
484,faithful,10,0.0008039604823068306
485,nought,8,0.0007130566578777208
486,put,20,0.0010454326775652483
487,both,33,0.0017511063137642165
488,conflict,5,0.0005861482943886781
489,evening,7,0.0006885549348851082
490,thirteenth,5,0.000995088960187966
491,sun,5,0.0009275726640472164
492,english_nation,9,0.0014159436986705717
493,allegiance,8,0.001447247802339937
494,keep,10,0.0011795769347617707
495,protection,9,0.0008743758928254247
496,submit,19,0.0012369866395659321
497,victory,5,0.0005521819650459125
498,eighth,7,0.0007755934920145743
499,mass,26,0.0014522336379512628
500,term,6,0.0009308114120335293
501,field,9,0.0008187399806602624
502,pirate,8,0.0015889254195962032
503,join,5,0.0009289972340021647
504,naval_armament,6,0.0007055059127755839
505,danish_army,5,0.0011718128182440942
506,disperse,6,0.0009687745406245006
507,first_time,5,0.0008376364876870109
508,march,13,0.0007738033638753848
509,present,10,0.000743787535512444
510,report,5,0.0008414191418623821
511,storm,10,0.000993590261665753
512,horse,25,0.0017432524175057932
513,provision,16,0.0005756034658216697
514,great_pomp,6,0.0007849368389953597
515,purpose,5,0.0004586717750291718
516,return_homeward,5,0.0009834561272263835
517,naval_force,6,0.0011635804375737752
518,make_peace,17,0.0014862873700936866
519,security,7,0.0008352769914947897
520,sit,21,0.002285795194441426
521,steal,8,0.0010805247251493054
522,therewith,6,0.0006913153421350603
523,ether,5,0.0010209008661388778
524,fix_winter,7,0.0013641225937544965
525,quarter,15,0.0019009169373670433
526,vast,6,0.0008434378231982876
527,heavy,15,0.001208005638818097
528,meeting,5,0.0010914360711116314
529,nothing,18,0.0012750281142940984
530,reduce,7,0.001281090821898432
531,fortnight,5,0.0010450301587976558
532,have_victory,9,0.001198210015277565
533,main_army,6,0.0006139062142524707
534,oft,7,0.0009186396864192082
535,small,6,0.0003780509142794948
536,summer,22,0.001291281375792231
537,thousand,6,0.000534946055522625
538,troop,5,0.0007399713057806152
539,give_hostage,16,0.0012952021902821692
540,subdue_land,5,0.0007625656957992479
541,swear_oath,13,0.000840403771373065
542,army_sit,6,0.0012679025476525106
543,fleet,28,0.0018688011854303983
544,fort,7,0.0009006211479081672
545,deliver,10,0.0013253861595600284
546,fortress,6,0.0006019362153466007
547,harvest,17,0.0011510756470262317
548,navy,5,0.00048517869735599967
549,oath,13,0.0012856221902266918
550,overtake,7,0.0009088933726697396
551,require,7,0.0005099133404033859
552,sail,7,0.0004889801386669054
553,swear,14,0.0011638415704637985
554,west,15,0.0007312943268436042
555,act,7,0.0011834777364615012
556,come_meet,11,0.0011130778099527668
557,rid,7,0.0006720203401345931
558,week,27,0.0017944687849990044
559,surrender,6,0.000866311938812411
560,alm,6,0.0017859519858237916
561,forsook,9,0.0006082125637757921
562,midwinter,19,0.0008936281358906905
563,truce,7,0.0005597197749637132
564,western,5,0.000865927263943084
565,care,5,0.0008499760775088999
566,fortify,6,0.0008248461353665163
567,abode,27,0.0016492627406872922
568,agree,9,0.0006254317301523444
569,bereft,5,0.00038255291130565174
570,bridge,11,0.0007435439432690043
571,district,5,0.0007312344242021205
572,master,5,0.0003060385583985601
573,station,5,0.0006042653450396567
574,conduct,6,0.0003829574247295726
575,way,10,0.0008528636928717429
576,messenger,8,0.00038367364260771927
577,gang_day,6,0.000485036228558128
578,land_force,18,0.0012318520430941644
579,churl,5,0.000621861663709625
580,length,5,0.0008566357352017731
581,withal,14,0.0010923171747142819
582,advanced,6,0.0003825310815413822
583,citizen,7,0.0011485053953319317
584,come_hither,22,0.0016160625948109181
585,corn,12,0.0009268000231287295
586,go_beset,6,0.000367247955719401
587,hunger,10,0.000897181028803967
588,maintain,7,0.00045885005916570376
589,meat,6,0.00045924705022989785
590,most,12,0.0007140000834488025
591,party,5,0.0006371423967019552
592,reach,8,0.0008372976163910829
593,take_cattle,5,0.0004944325907567016
594,woman,6,0.0004330490532177949
595,cattle,17,0.0012746761933524556
596,townsman,5,0.00031133603896752506
597,fetch,10,0.0011238960568115592
598,folk,12,0.0007396294263638544
599,port,5,0.00017848555520229506
600,coast,5,0.0004850454261998274
601,deep,5,0.00037395507597614647
602,full_nigh,6,0.00040786871342317707
603,get,17,0.0009950088555036678
604,harass,8,0.0009070367577536857
605,mischief,5,0.0003575418120615117
606,prevent,6,0.0008669596404268009
607,think,22,0.0009629869646785079
608,night_midsummer,5,0.0007567583368277493
609,new_minster,5,0.0013776674682612977
610,entice,6,0.0005483893357949243
611,fall,22,0.0009953536888926862
612,go_homeward,6,0.0004842928897768769
613,slaughter_make,5,0.0008543643618419458
614,whole_army,7,0.0005278688336930264
615,conclude,7,0.00043348569827469577
616,property,9,0.000697151361027721
617,south,17,0.000963623706918921
618,suppose,13,0.0007779586020441966
619,next,5,0.0010788360724161873
620,midsummer,16,0.0015926886045715344
621,south_side,8,0.0008209436405610071
622,feast,10,0.0008065712688718896
623,deal,5,0.0006268540054986894
624,take_horse,5,0.00035716477451803194
625,weapon,8,0.0011334656177597584
626,dear,6,0.0007288273672565869
627,depart_thence,6,0.0009134145047512543
628,help,11,0.000872775390149017
629,short,6,0.0011009706842406801
630,loss,5,0.0006544101909794463
631,repair,6,0.0010116002834024973
632,advise,13,0.0009199084737815617
633,aid,12,0.0009852181061817727
634,army_collect,8,0.0010501138521637945
635,go_thence,13,0.0006234751829745531
636,large_force,7,0.0007133403186179797
637,resolve,15,0.0011338757169087243
638,unaware,8,0.0008075389395154055
639,population,6,0.000550845096982363
640,secure,5,0.0013223346314825463
641,win,15,0.0013608901100018174
642,govern,11,0.0010075545519042128
643,lay_waste,8,0.0011656044463156882
644,fair,5,0.0006529594899606891
645,field_battle,5,0.0011189577056813383
646,foe,8,0.0005612649631281516
647,ground,6,0.0004937201259056861
648,midst,9,0.0009333558540253678
649,mighty,5,0.00024126834175725308
650,reason,12,0.0008393746323154642
651,strong,12,0.0006756395310716887
652,bow,6,0.000449258015541293
653,drag,6,0.0005354312110276492
654,heir,5,0.0008907798052121751
655,condition,13,0.0009359690311300514
656,mass_day,23,0.0019345301250799569
657,prison,6,0.00045900134839548705
658,old_minster,8,0.0013895304305108558
659,law,11,0.0009013040689381919
660,advice,8,0.0006177437924303196
661,buy,7,0.0004592529190132378
662,bliss,7,0.0011134609696557684
663,pomp,6,0.0003489724678198065
664,fruit,9,0.0007404611098436683
665,servant,5,0.000539039893474234
666,truth,8,0.0007732217535150452
667,wonder,5,0.0001533110385233049
668,evil,22,0.0007228708439032696
669,mid,7,0.0011568884606097715
670,unjust,5,0.0007245936586590615
671,bad,16,0.0005330553726848138
672,kinsman,6,0.0009962914031035482
673,harm,9,0.0009292250619563221
674,sea_coast,8,0.0010250179154162465
675,murrain_cattle,6,0.0010511918036125367
676,measure,5,0.000635946936226705
677,tribute,16,0.0011974487274697423
678,engage,7,0.0010897128599212276
679,peace_make,5,0.001092109925960392
680,spoil,11,0.0016717856581545405
681,feed,5,0.0007000944458916348
682,hostile,5,0.0009458338061734024
683,mercy,10,0.0003550527992612474
684,close,5,0.0004591263543868853
685,determine,5,0.000571256803276045
686,expedition,12,0.0006015768634525026
687,miserable,6,0.0007393433893234644
688,treasure,22,0.001063552674676306
689,burn_town,7,0.0010547805059917786
690,cease,8,0.001025354356335738
691,resist,8,0.0005563212347740928
692,withstand,11,0.000958959115072626
693,tribute_pay,6,0.0016161371475763963
694,french,5,0.0004898962035529739
695,sick,5,0.0004079156166166121
696,steward,8,0.0010085266213219442
697,do_harm,17,0.0006764567881119152
698,man_remember,11,0.0011318481952700113
699,accord,11,0.0004570731620486276
700,avail_nothing,6,0.0005102479315977896
701,await,5,0.0008806090615764484
702,custom,5,0.0004847332415509812
703,go_way,7,0.0006993803577399597
704,make_known,7,0.0007525228925790965
705,fare,6,0.0002803133823883528
706,knight,8,0.00045887246066572527
707,naval,6,0.0008325382235029054
708,summon,6,0.00045724557340694324
709,wind,9,0.001188239019913005
710,multitude,6,0.0002953435176771101
711,treachery,8,0.000916828936860262
712,bury_minster,6,0.0011737731654071757
713,fee,5,0.0005725980800524829
714,sink,5,0.0005356736132230359
715,stir,8,0.0004038142919793708
716,archiepiscopal,6,0.0005383576656766509
717,season,9,0.0008217715737698475
718,clergy_laity,6,0.0006605092049744105
719,festival,7,0.0005868884924732356
720,full_friendship,6,0.0003002794267733635
721,difficulty,7,0.00045069135857160917
722,pay,13,0.0014260353431659709
723,outlaw,18,0.002475725163017687
724,cause,9,0.0006436489690049374
725,entertain,6,0.0008667221663549673
726,altar,6,0.0006303344534827184
727,lodge,5,0.0005701088726934347
728,reconcile,10,0.0006120171878828078
729,second_day,5,0.0009093515465459164
730,people_gather,7,0.0007386018033163931
731,succeed_earldom,5,0.0013153875264181791
732,throw,6,0.0007776905024607527
733,chief_man,6,0.0007895776014261823
734,household,5,0.0008282288700947791
735,sell,5,0.00038086892953206387
736,seek_protection,5,0.0011273464682214087
737,penny,7,0.0008298130167998425
738,rise,6,0.0007774553666769122
739,court,11,0.0012961572503230015
740,fruit_earth,6,0.0012827107102726238
741,win_land,7,0.0006889745810461632
742,remember,5,0.0005286719124370383
743,betook,7,0.0007097438748500019
744,refuse,5,0.000331566009964562
745,earthquake,6,0.0010509046342835995
746,castle,35,0.001590921062500604
747,declare,6,0.0002296713641249807
748,earldom,18,0.0007139188731477183
749,give_abbacy,8,0.0007474290689060172
750,cousin,5,0.0005099422844109338
751,reconciliation,7,0.000965676982334071
752,draw,5,0.0004947158215705583
753,hostility,10,0.0011459719547660917
754,latter,5,0.0007653857990540822
755,work_castle,5,0.0
756,give_earldom,6,0.0007525852574734093
757,landsman,6,0.0007347903372952891
758,dignity,6,0.0005269313984783403
759,earldom_father,5,0.001371174620373224
760,foot,7,0.0004078367656151514
761,strength,7,0.0006731633368869717
762,choose_pope,8,0.0016843741542852339
763,avail,5,0.0002548815453269707
764,crown,5,0.0007390276264255916
765,guild,7,0.00038835866393732645
766,give_castle,6,0.0005355298521550703
767,contribution,5,0.0010080581488378494
768,hold_court,17,0.0012295303779402919
769,bare,5,0.0006413588430527308
770,custody,5,0.0003060019594898496
771,conspiracy,5,0.0004558172184202463
772,oppress,7,0.000715618694339368
773,do_homage,5,0.000692563538388967
774,great_worship,5,0.0009433901505553106
